song,streams
Cruel Summer,"1,763,716,039"
Blank Space,"1,723,650,043"
* I Don’t Wanna Live Forever (Fifty Shades Darker),"1,577,791,457"
Anti-Hero,"1,408,655,572"
Shake It Off,"1,326,143,157"
Lover,"1,244,210,414"
cardigan,"1,157,065,035"
Style,"1,137,329,369"
Look What You Made Me Do,"1,077,122,622"
Don’t Blame Me,"994,130,817"
august,"968,523,454"
Wildest Dreams,"917,950,458"
Delicate,"916,445,943"
You Need To Calm Down,"870,460,861"
Love Story,"845,916,952"
ME! (feat. Brendon Urie of Panic! At The Disco),"826,305,397"
I Knew You Were Trouble.,"790,743,568"
willow,"772,811,000"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"768,182,493"
Enchanted,"762,049,752"
exile (feat. Bon Iver),"700,221,245"
The Man,"685,554,358"
Karma,"680,456,667"
Love Story (Taylor’s Version),"658,384,478"
Lavender Haze,"653,848,721"
...Ready For It?,"652,798,357"
Wildest Dreams (Taylor's Version),"650,086,515"
We Are Never Ever Getting Back Together,"644,381,083"
You Belong With Me,"612,393,310"
Getaway Car,"601,614,149"
Midnight Rain,"598,143,507"
Paper Rings,"594,710,952"
Bad Blood,"571,499,040"
You Belong With Me (Taylor’s Version),"568,196,004"
Gorgeous,"557,226,147"
champagne problems,"557,199,966"
the 1,"524,896,648"
"You're On Your Own, Kid","519,352,180"
Bejeweled,"477,399,394"
End Game,"467,730,463"
my tears ricochet,"428,846,240"
Maroon,"421,810,385"
I Did Something Bad,"408,732,972"
Snow On The Beach (feat. Lana Del Rey),"404,545,946"
mirrorball,"380,042,874"
Back To December,"378,008,759"
The Way I Loved You (Taylor’s Version),"377,946,178"
Call It What You Want,22
Vigilante Shit,"374,841,183"
illicit affairs,"371,574,396"
The Archer,"358,610,640"
this is me trying,"356,533,846"
Afterglow,"355,199,727"
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),"353,505,459"
Daylight,"349,577,149"
the last great american dynasty,"343,335,155"
invisible string,"339,523,904"
Miss Americana & The Heartbreak Prince,"331,953,135"
betty,"331,798,369"
All Of The Girls You Loved Before,"327,873,339"
I Forgot That You Existed,"321,796,561"
Out Of The Woods,"321,017,772"
Our Song,"319,443,506"
Mastermind,"317,070,410"
I Knew You Were Trouble (Taylor's Version),"312,306,422"
London Boy,"309,029,332"
Cornelia Street,"304,654,026"
Is It Over Now? (Taylor's Version) (From The Vault),"303,079,896"
right where you left me - bonus track,"302,661,347"
Dress,"299,847,805"
We Are Never Ever Getting Back Together (Taylor's Version),"293,205,937"
seven,"291,833,455"
Question...?,"289,172,009"
tolerate it,"283,775,840"
Lover (Remix) [feat. Shawn Mendes],"279,065,518"
New Romantics,"274,578,621"
Everything Has Changed,"274,360,891"
gold rush,"270,250,542"
Death By A Thousand Cuts,"268,454,147"
Red (Taylor's Version),"267,083,207"
The Great War,"266,428,397"
"no body, no crime (feat. HAIM)","259,812,289"
I Think He Knows,"255,532,754"
Sweet Nothing,"255,272,517"
Labyrinth,"254,699,846"
Fearless (Taylor’s Version),"252,069,315"
Red,"249,747,969"
King Of My Heart,"249,638,510"
‘tis the damn season,"247,753,511"
"Would've, Could've, Should've","247,588,078"
22 (Taylor's Version),"246,482,171"
All Too Well,"243,651,207"
Welcome To New York,"242,865,415"
All Too Well (Taylor's Version),"241,966,826"
Dancing With Our Hands Tied,"241,089,716"
Safe & Sound - from The Hunger Games Soundtrack,"237,293,512"
Mean,"231,069,981"
This Love (Taylor’s Version),"228,373,992"
Enchanted (Taylor's Version),"223,530,316"
* Highway Don't Care,"222,804,548"
Mine,"220,170,286"
All You Had To Do Was Stay,"220,005,532"
I Can See You (Taylor’s Version) (From The Vault),"217,532,055"
False God,"216,022,898"
This Is Why We Can't Have Nice Things,"215,181,406"
Teardrops On My Guitar - Radio Single Remix,"212,802,978"
Now That We Don't Talk (Taylor's Version) (From The Vault),"205,347,372"
ivy,"203,718,030"
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"203,215,043"
mad woman,"200,749,608"
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),"199,192,335"
evermore (feat. Bon Iver),"197,659,451"
Slut! (Taylor's Version) (From The Vault),"197,444,212"
peace,"197,272,623"
Clean,"194,461,939"
marjorie,"192,744,246"
Better Than Revenge,"191,332,738"
long story short,"189,660,783"
Picture To Burn,"186,800,526"
New Year’s Day,"181,234,297"
Message In A Bottle (Taylor's Version) (From The Vault),"179,837,925"
Sparks Fly,"179,780,599"
Christmas Tree Farm,"177,909,334"
Bad Blood,"177,292,451"
happiness,"177,204,923"
hoax,"175,070,696"
epiphany,"172,544,922"
* The Joker And The Queen (feat. Taylor Swift),"172,117,033"
cowboy like me,"171,420,529"
Paris,"171,406,684"
So It Goes...,"170,855,503"
Bigger Than The Whole Sky,"167,693,105"
coney island (feat. The National),"167,356,019"
How You Get The Girl,"166,409,597"
Hits Different,"166,285,375"
Back To December (Taylor's Version),"165,737,029"
dorothea,"160,635,535"
The Very First Night (Taylor's Version) (From The Vault),"160,517,454"
Snow On The Beach (feat. More Lana Del Rey),"160,127,787"
The Story Of Us,"158,067,732"
I Wish You Would,"155,564,650"
Wonderland,"149,655,098"
You’re Losing Me (From The Vault),"149,478,503"
Style (Taylor's Version),"146,044,392"
Mine (Taylor's Version),"145,667,123"
High Infidelity,"145,519,904"
Speak Now,"143,061,292"
You Are In Love,"140,998,009"
the lakes - bonus track,"140,952,422"
Dear John,"139,533,275"
Say Don't Go (Taylor's Version) (From The Vault),"139,242,418"
Soon You’ll Get Better (feat. The Chicks),"139,080,808"
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"137,996,173"
Better Man (Taylor's Version) (From The Vault),"135,579,609"
I Know Places,"135,409,483"
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),"132,018,343"
* Two Is Better Than One (feat. Taylor Swift),"131,696,342"
Begin Again,"131,188,097"
It’s Nice To Have A Friend,"130,209,725"
Tim McGraw,"124,248,358"
Last Kiss,"123,337,173"
Blank Space (Taylor's Version),"122,131,160"
Dear Reader,"120,478,407"
Only The Young - Featured in Miss Americana,"120,070,992"
Fearless,"115,911,504"
State Of Grace (Taylor's Version),"115,271,452"
closure,"114,950,815"
Should've Said No,"114,378,066"
Fifteen,"113,654,970"
Glitch,"113,349,143"
Babe (Taylor's Version) (From The Vault),"112,883,443"
* Renegade,"112,324,724"
* Babe,"111,467,138"
White Horse,"110,620,307"
This Love,"110,222,260"
Better Than Revenge (Taylor's Version),"108,195,361"
Crazier,"106,008,360"
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"105,816,080"
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"105,747,079"
Treacherous (Taylor's Version),"105,355,813"
Come Back...Be Here (Taylor's Version),"102,392,819"
Forever & Always (Taylor’s Version),"102,142,050"
Long Live (Taylor's Version),"101,803,194"
Haunted,"101,201,011"
Sparks Fly (Taylor’s Version),"101,105,779"
it’s time to go - bonus track,"100,667,080"
Out Of The Woods (Taylor's Version),"99,651,102"
Long Live,"99,138,939"
Begin Again (Taylor's Version),"98,070,533"
Fifteen (Taylor’s Version),"97,891,067"
Dear John (Taylor's Version),"92,967,262"
Sad Beautiful Tragic (Taylor's Version),"91,947,957"
White Horse (Taylor’s Version),"89,588,638"
Speak Now (Taylor's Version),"88,416,444"
New Romantics (Taylor's Version),"87,341,342"
Forever Winter (Taylor's Version) (From The Vault),"86,927,982"
Suburban Legends (Taylor's Version) (From The Vault),"86,595,180"
I Almost Do (Taylor's Version),"85,910,964"
Welcome To New York (Taylor's Version),"85,692,188"
Never Grow Up,"85,194,023"
Stay Stay Stay (Taylor's Version),"84,868,862"
Hey Stephen (Taylor’s Version),"83,487,964"
Mean (Taylor's Version),"82,483,825"
Karma (feat. Ice Spice),"81,844,614"
Shake It Off (Taylor's Version),"81,763,207"
The Story Of Us (Taylor's Version),"81,089,600"
Holy Ground (Taylor's Version),"80,971,557"
Foolish One (Taylor’s Version) (From The Vault),"80,127,618"
Back To December - Acoustic,"79,352,734"
